razao_social;nome_fantasia;cnpj;email;telefone;celular;responsavel;cep;endereco;numero;complemento;bairro;cidade;estado;porte;limite_aprovado;observacao;corretora_nome;data_cadastro
COPPER INDUSTRIA E COMERCIO DE VERGALHOES LTDA;;10.193.734/0001-98;;;;;;;;;;;;;200.000.000,00;;Traderisk Adm Corretora De Seguros;24/03/2026
AGRICOLA MORENO DE LUIZ ANTONIO LTDA;;15.417.965/0001-51;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;24/03/2026
LINDNER TECHNO SYSTEMS LTDA;;03.852.406/0001-90;;;;;;;;;;;;;28.028.383,50;;Traderisk Adm Corretora De Seguros;24/03/2026
CAMBUCI S/A;;61.088.894/0001-08;;;;;;;;;;;;;200.000.000,00;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;24/03/2026
ADAMI SA MADEIRAS;;83.054.478/0001-21;;;;;;;;;;;;;200.000.000,00;;Traderisk Adm Corretora De Seguros;24/03/2026
GRID POWER SOLUTIONS - ENGENHARIA E CONSULTORIA EM PROJETOS ELETRICOS E ELETRONICOS LTDA;;14.742.012/0001-04;;;;;;;;;;;;;3.973.879,73;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;24/03/2026
FRONTER ENGENHARIA DE OBRAS LTDA;;05.876.794/0001-75;;;;;;;;;;;;;5.933.432,42;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;24/03/2026
FRAPORT BRASIL S.A AEROPORTO DE FORTALEZA;;27.059.565/0001-09;;;;;;;;;;;;;200.000.000,00;;Howden Brasil Consultoria E Corretora De Seguros Ltda;24/03/2026
FAAB ENGENHARIA LTDA;;11.512.944/0001-64;;;;;;;;;;;;;10.832.635,86;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;24/03/2026
HBR AVIACAO S.A;;;;;;;;;;;;;;;;;ACRISURE CORRETORA DE SEGUROS LTDA;2026-03-24 0:00:00
CONSTRUTORA FORTUNATO LTDA;;82.607.623/0001-91;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;25/03/2026
ARARICA SANEAMENTO S/A.;;50.064.370/0001-60;;;;;;;;;;;;;17.502.426,52;;Traderisk Adm Corretora De Seguros;25/03/2026
RECOPE INDUSTRIA DO COBRE LTDA;;30.639.062/0001-09;;;;;;;;;;;;;23.075.644,90;;Traderisk Adm Corretora De Seguros;25/03/2026
SUPERMERCADO CASA AURORA LTDA;;26.777.276/0001-74;;;;;;;;;;;;;1.634.450,38;;Traderisk Adm Corretora De Seguros;25/03/2026
ENGESER COMERCIO E SERVICOS LTDA;;03.964.849/0001-73;;;;;;;;;;;;;1.543.987,24;;Traderisk Adm Corretora De Seguros;25/03/2026
FORMTAP INDUSTRIA E COMERCIO S/A;;53.808.697/0001-98;;;;;;;;;;;;;21.201.856,20;;Traderisk Adm Corretora De Seguros;25/03/2026
METAL GROUP PARTICIPACOES LTDA;;30.832.459/0001-12;;;;;;;;;;;;;200.000.000,00;;Traderisk Adm Corretora De Seguros;25/03/2026
FOCO ALUGUEL DE CARROS;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-25 0:00:00
NEW MAGIC CONFECCOES LTDA;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-03-25 0:00:00
FATOR TOWERS OT CONSTRUCOES E INCORPORACOES LTDA;;13.646.076/0001-30;;;;;;;;;;;;;20.391.000,00;;M7 Soluções E Corretora De Seguros Ltda;26/03/2026
CERVEJARIA LACERVA LTDA;;14.119.436/0001-09;;;;;;;;;;;;;639.964,30;;Traderisk Adm Corretora De Seguros;26/03/2026
CONSTRUTORA RICHTER LTDA;;81.534.240/0001-78;;;;;;;;;;;;;6.003.598,57;;Traderisk Adm Corretora De Seguros;26/03/2026
FOUR DISTRIBUICAO LTDA;;19.006.680/0001-89;;;;;;;;;;;;;12.222.403,24;;Traderisk Adm Corretora De Seguros;26/03/2026
OSO PARTICIPACOES E CONSULTORIA LTDA;;19.006.696/0001-91;;;;;;;;;;;;;5.342.215,75;;Traderisk Adm Corretora De Seguros;26/03/2026
EXPRESSO SAO JOSE LTDA;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-03-26 0:00:00
BURNTECH CALDEIRAS E EQUIPAMENTOS LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-26 0:00:00
QPC ENGENHARIA LTDA;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-03-26 0:00:00
CONDOMINIO BEIRAMAR SHOPPING CENTER;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-03-26 0:00:00
ABC CARGAS LTDA;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-03-26 0:00:00
LABORATORIO DE PROTESE SANTOS E MIRANDA LTDA;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-03-26 0:00:00
F.A CONTROLADORIA DE PATRIMONIO LTDA;;05.257.221/0001-63;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;27/03/2026
OCEANPACT SERVICOS MARITIMOS S.A.;;09.114.805/0001-30;;;;;;;;;;;;;;;Howden Brasil Consultoria E Corretora De Seguros Ltda;27/03/2026
DATA TRAFFIC S/A;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-03-27 0:00:00
HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-27 0:00:00
BRASAURO RECURSOS MINERAIS LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-27 0:00:00
CONSORCIO MYRIBAM;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-03-27 0:00:00
TERRAMAQ INSUMOS AGRICOLAS LTDA;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-03-27 0:00:00
SOLTURI SOLAR SERVICO E COMERCIO DE MATERIAIS ELETRICOS LTDA;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-03-27 0:00:00
HOSPITAL E MATERNIDADE MOGI LTDA;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-03-27 0:00:00
ASSOCIACAO BRASILEIRA DE EDUCACAO, SAUDE E ASSISTENCIA SOCIAL - ABESS;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-03-27 0:00:00
ASCENSUS TRADING & LOGISTICA LTDA;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-03-27 0:00:00
MENDES & KOCH LTDA;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-03-27 0:00:00
Plansul Planejamento E Consultoria Ltd;;;;;;;;;;;;;;;;;ACRISURE CORRETORA DE SEGUROS LTDA;2026-03-27 0:00:00
GRUPO FARTURA DE HORTIFRUT S.A;;;;;;;;;;;;;;;;;ACRISURE CORRETORA DE SEGUROS LTDA;2026-03-27 0:00:00
ESTÅNCIA  DEL  SUR  AGROPECUÇRIA  LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-31 0:00:00
FERTICEL INDÚSTRIA DE FERTILIZANTES LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-31 0:00:00
CONCREMAT ENGENHARIA E TECNOLOGIA S.A;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-31 0:00:00
HOSPITAL SANTA LÚCIA S/A;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-03-31 0:00:00
IBIRITE ILUMINACAO PUBLICA S.A;;;;;;;;;;;;;;;;;Dh7 Corretora De Seguros Ltda;2026-03-31 0:00:00
IMERYS FUSED E IMERYS DO BRASIL;;;;;;;;;;;;;;;;;Dh7 Corretora De Seguros Ltda;2026-03-31 0:00:00
Nuclebrás Equipamentos Pesados S.A;;;;;;;;;;;;;;;;;Dh7 Corretora De Seguros Ltda;2026-03-31 0:00:00
RIONEST SERVIÇOS MÉDICOS E HOSPITALARES LTDA;;;;;;;;;;;;;;;;;Lugano Corretora E Agenciadora De Seguros Ltda;2026-04-01 0:00:00
ZILOR ENERGIA E ALIMENTOS;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-01 0:00:00
ALIANÇA COMÉRCIO DE CALÇADOS LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-01 0:00:00
H MOTORS;;;;;;;;;;;;;;;;;Granto Corretora De Seguros Ltda;2026-04-01 0:00:00
BIOMIX INDUSTRIA E COMERCIO DE INSUMOS ORGANICOS LTDA;;;;;;;;;;;;;;;;;Granto Corretora De Seguros Ltda;2026-04-01 0:00:00
JADE - ENGENHARIA INDUSTRIA E COMERCIO DE ESTRUTURAS METALICAS LTDA;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-04-02 0:00:00
RAPOSO CONSTRUCOES E EMPREENDIMENTOS LTDA;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-04-02 0:00:00
UNIMED NATAL SOCIEDADE COOPERATIVA DE TRABALHO MÉDICO;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-02 0:00:00
ARAMESUL INDUSTRIA E COMERCIO DE ARAMES LTDA;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-04-02 0:00:00
EMBRAER S.A;;;;;;;;;;;;;;;;;Lockton Brasil Consultoria E Corretora De Seguros Ltda;2026-04-02 0:00:00
VIA CAPITAL ARTEMUS FUNDO DE INVESTIMENTO;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-02 0:00:00
CURY CONSTRUTURA E INCORPORADORA S.A;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-06 0:00:00
MORGANITE DO BRASIL LTDA;;;;;;;;;;;;;;;;;Lockton Brasil Consultoria E Corretora De Seguros Ltda;2026-04-06 0:00:00
QUEIROZ PIMENTEL ENGENHARIA LTDA;;;;;;;;;;;;;;;;;Mosaico Plus Seguros E Beneficios Ltda;2026-04-07 0:00:00
MARISOL S.A.;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-04-07 0:00:00
AGILIZA CONSTRUCOES E SERVICOS LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-07 0:00:00
PEDAGIO ELETRONICO E PAGAMENTOS MOVVIA LTDA ME;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-04-08 0:00:00
VIPOSA S.A;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-04-08 0:00:00
RH MULTI SERVICOS ADMINISTRATIVOS S.A;;;;;;;;;;;;;;;;;Acrisure Corretora de Seguros Ltda;2026-04-08 0:00:00
GRUPO JCA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-08 0:00:00
INOVA ADMINISTRADORA DE BENEFICIOS LTDA;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-04-08 0:00:00
EOLICAS CALMON S/A;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-04-09 0:00:00
LBX S.A;;;;;;;;;;;;;;;;;Acrisure Corretora de Seguros Ltda;2026-04-09 0:00:00
ISQ Brasil;;;;;;;;;;;;;;;;;Gibs Corretora De Seguros Ltda;2026-04-09 0:00:00
GR REAL SERVIÇOS;;;;;;;;;;;;;;;;;Acrisure Corretora de Seguros Ltda;2026-04-09 0:00:00
TARRAF EMPREENDIMENTOS IMOBILIARIOS LTDA;;;;;;;;;;;;;;;;;Veraz Consultoria e Corretagem de Seguros Ltda;2026-04-09 0:00:00
PERPLAN 40 EMPREENDIMENTO IMOBILIÁRIO SPE LTDA;;;;;;;;;;;;;;;;;Veraz Consultoria e Corretagem de Seguros Ltda;2026-04-09 0:00:00
FERTILIZANTES HERINGER;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-09 0:00:00
NOVO MUNDO S.A. - EM RECUPERACAO JUDICIAL;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-04-09 0:00:00
SEGEX UVV ON S.A.;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-04-09 0:00:00
ARAUCO B;;;;;;;;;;;;;;;;;Veraz Consultoria e Corretagem de Seguros Ltda;2026-04-09 0:00:00
DALLAS RESIDENCIAL;;;;;;;;;;;;;;;;;Veraz Consultoria e Corretagem de Seguros Ltda;2026-04-09 0:00:00
ESTRE SPI AMBIENTAL S.A;;;;;;;;;;;;;;;;;Acrisure Corretora de Seguros Ltda;2026-04-09 0:00:00
PLURAL INDÚSTRIA GRÁFICA LTDA;;;;;;;;;;;;;;;;;Solucoes Integradas de Consultoria e Corretoragem de Seguros Ltda;2026-04-10 0:00:00
BRUMAZI / SOLISTEL;;;;;;;;;;;;;;;;;Veraz Consultoria e Corretagem de Seguros Ltda;2026-04-10 0:00:00
SOMAVE FEED INGREDIENTS LTDA;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-04-10 0:00:00
SOLISTEEL SOLUCOES INDUSTRIAIS EM ACO LTDA;;;;;;;;;;;;;;;;;Veraz Consultoria e Corretagem de Seguros Ltda;2026-04-10 0:00:00
USINAS SIDERÚRGICAS DE MINAS GERAIS S.A. – USIMINAS;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-13 0:00:00
YEES CONSOLACAO SPE LTDA;;;;;;;;;;;;;;;;;Veraz Consultoria e Corretagem de Seguros Ltda;2026-04-14 0:00:00
RYPE 21 - EMPREENDIMENTO IMOBILIÁRIO LTDA;;;;;;;;;;;;;;;;;J&F Jemfam Corretora De Seguros Ltda;2026-04-14 0:00:00
GABBAI EMPREENDIMENTOS IMOBILIARIOS LTDA;;;;;;;;;;;;;;;;;Godoi Brasil Corretora De Seguros Ss Ltda;2026-04-14 0:00:00
MAGIK JC EMPREENDIMENTOS;;;;;;;;;;;;;;;;;Veraz Consultoria e Corretagem de Seguros Ltda;2026-04-14 0:00:00
GRUPO NEW FORTESS ENERGY (NFE);;;;;;;;;;;;;;;;;Marsh Corretora;2026-04-14 0:00:00
LUME MARKETING & CRIACOES LTDA.;;;;;;;;;;;;;;;;;Godoi Brasil Corretora De Seguros Ss Ltda;2026-04-15 0:00:00
CONSTRUTORA E INCORPORADORA PRIDE S/A;;;;;;;;;;;;;;;;;Veraz Consultoria e Corretagem de Seguros Ltda;2026-04-15 0:00:00
MOBLY COMÉRCIO VAREJISTA LTDA;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-04-15 0:00:00
METRO ENGENHARIA E CONSULTORIA LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-16 0:00:00
CERVEJARIA PETROPOLIS S/A;;;;;;;;;;;;;;;;;Lockton Brasil Consultoria E Corretora De Seguros Ltda;2026-04-16 0:00:00
SMART RJ CONCESSIONÁRIA DE ILUMINAÇÃO PÚBLICA SPE S.A.;;;;;;;;;;;;;;;;;Marsh Corretora;2026-04-16 0:00:00
WAY CONCESSÕES S.A.;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-16 0:00:00
SOLIS TOWER TELECOM DO BRASIL CESSAO DE INFRAESTRUTURA LTDA;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-04-16 0:00:00
ALSARAIVA COMERCIO, EMPREENDIMENTOS IMOBILIARIOS;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-16 0:00:00
ÁGUA BRANCA CONSTRUTORA E INCORP. LTDA;;;;;;;;;;;;;;;;;Alia Corretora de Seguros Ltda.;2026-04-16 0:00:00
MASTER ADMINISTRADORA DE BENS E LOTEAMENTOS LTDA;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-04-16 0:00:00
CELLULAR HOUSE TELECOMUNICACOES LTDA;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-04-16 0:00:00
AFS LOCAÇÕES LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-16 0:00:00
CS INFRA S.A.;;;;;;;;;;;;;;;;;ACRISURE CORRETORA DE SEGUROS LTDA;2026-04-16 0:00:00
PETRO RECONCAVO S.A.;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-16 0:00:00
PIATEC CONSTRUÇÕES LTDA.;;;;;;;;;;;;;;;;;Lockton Brasil Consultoria E Corretora De Seguros Ltda;2026-04-17 0:00:00
LINNEAR CONSTRUTORA SPE 02 LTDA;;;;;;;;;;;;;;;;;Veraz Consultoria e Corretagem de Seguros Ltda;2026-04-17 0:00:00
KREICH EMPREENDIMENTOS LTDA;;;;;;;;;;;;;;;;;Majesttade Corretora e Consultoria de Seguros Ltda;2026-04-17 0:00:00
UNIMED DO BRASIL;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-17 0:00:00
NEOENERGIA S.A.;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-17 0:00:00
CANOPUS HOLDING S.A.;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-17 0:00:00
AGUIA PROJETOS E CONSULTORIA LTDA;;;;;;;;;;;;;;;;;Fibra Corretora de Seguros Ltda.;2026-04-17 0:00:00
B&Q ENERGIA LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-17 0:00:00
AGIS CONSTRUÇÃO S.A.;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-17 0:00:00
TRONOX PIGMENTOS DO BRASIL S.A.;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-17 0:00:00
FERBASA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-17 0:00:00
VOAR AVIATION TAXI AÉREO E MANUTENÇÃO LTDA;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-04-17 0:00:00
TRANSPANORAMA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-17 0:00:00
AGROSB AGROPECUÁRIA S.A.;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-04-17 0:00:00
CONSTRUTORA L. G. LTDA;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-04-17 0:00:00
TOLEDO DO BRASIL INDÚSTRIA DE BALANÇAS LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-17 0:00:00
ENERMAIS ENERGIA LTDA;;;;;;;;;;;;;;;;;ACRISURE CORRETORA DE SEGUROS LTDA;2026-04-17 0:00:00
PASTIFÍCIO SELMI;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-17 0:00:00
CSU DIGITAL;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-17 0:00:00
VERDE MAIS SERVIÇOS DE ALIMENTAÇÃO LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-17 0:00:00
ROYAL AGRO CEREAIS LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-17 0:00:00
NEOOH HELLOO;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-20 0:00:00
KARSTEN S.A.;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-04-20 0:00:00
RAIZ FORTE LTDA;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-04-20 0:00:00
AZEVEDO & TRAVASSOS S.A;;;;;;;;;;;;;;;;;ACRISURE CORRETORA DE SEGUROS LTDA;2026-04-20 0:00:00
LOJAS QUERO-QUERO S.A.;;;;;;;;;;;;;;;;;Nacora Corretagens De Seguro Ltda;2026-04-22 0:00:00
CONCESSIONÁRIA DE RODOVIAS ROTA DOS GRÃOS S.A.;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-22 0:00:00
GABRIEL FERNANDO LOPES FELISBINO CONSTRUÇÕES LTDA;;;;;;;;;;;;;;;;;Veraz Consultoria e Corretagem de Seguros Ltda;2026-04-22 0:00:00
LONGITUDE INCORPORAÇÃO & URBANISMO LTDA;;;;;;;;;;;;;;;;;Veraz Consultoria e Corretagem de Seguros Ltda;2026-04-22 0:00:00
RED MINERACAO E CONSTRUCAO LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-22 0:00:00
COMPANHIA INDUSTRIAL CATAGUASES;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-22 0:00:00
SILVIO SANTOS PARTICIPAÇÕES S.A.;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-22 0:00:00
CARBETO DE SILICIO SIKA BRASIL LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-22 0:00:00
CONSÓRCIO NOVA GUARATIBA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-22 0:00:00
GRANHA LIGAS LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-22 0:00:00
GLOBO COMERCIO DE AUTOMOVEIS E PECAS LTDA;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-04-22 0:00:00
ITATIAIA ELETRO E MOVEIS S/A;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-22 0:00:00
DIMENSAO 3A ARQUITETURA, ENGENHARIA E DESIGN LTDA;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-04-22 0:00:00
WYN EMPREENDIMENTOS IMOBILIÁRIOS SPE LTDA;;;;;;;;;;;;;;;;;Veraz Consultoria e Corretagem de Seguros Ltda;2026-04-22 0:00:00
DON PARTICIPAÇÕES;;;;;;;;;;;;;;;;;Traderisk Adm Corretora De Seguros;2026-04-22 0:00:00
PARATY ENERGIA LTDA;;;;;;;;;;;;;;;;;J&F Jemfam Corretora De Seguros Ltda;2026-04-24 0:00:00
CONASA INFRAESTRUTURA S.A.;;;;;;;;;;;;;;;;;J&F Jemfam Corretora De Seguros Ltda - (TEMPORARIO);2026-04-27 0:00:00
CONCESSIONÁRIA ROTA 116 S/A;;;;;;;;;;;;;;;;;Solucoes Integradas de Consultoria e Corretoragem de Seguros Ltda;2026-04-27 0:00:00
GONCALVES & TORTOLA S/A;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-04-28 0:00:00
FONTOURA CONSTRUÇÕES E INCORPORAÇÕES LTDA;;;;;;;;;;;;;;;;;Veraz Consultoria e Corretagem de Seguros Ltda;2026-04-29 0:00:00
ELINSA - ELETROTECNICA INDUSTRIAL E NAVAL DO BRASIL LTDA;;;;;;;;;;;;;;;;;Gibs Corretora De Seguros Ltda;2026-05-05 0:00:00
NORTIS INCORADORA E CONSTRUTORA S.A.;;;;;;;;;;;;;;;;;Veraz Consultoria e Corretagem de Seguros Ltda;2026-05-06 0:00:00
HEATING E COOLING TECNOLOGIA TERMICA LTDA;;;;;;;;;;;;;;;;;Veraz Consultoria e Corretagem de Seguros Ltda;2026-05-06 0:00:00
ECOVITA INCORPORADORA E CONSTRUTORA LTDA;;;;;;;;;;;;;;;;;Alia Corretora de Seguros Ltda.;2026-05-06 0:00:00
INFINITY DOM PEDRO SPE LTDA;;;;;;;;;;;;;;;;;Atix Servicos E Corretagem De Seguros;2026-05-07 0:00:00
FIGUEIRA DE ALMEIDA CONTROLE PATRIMONIAL LTDA.;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-05-07 0:00:00
CONCESSIONÁRIA DO AEROPORTO INTERNACIONAL DE  GUARULHOS S.A.;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-05-07 0:00:00
K9 ACADEMIA DE FORMAÇÃO DE VIGILANTES LTD;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-05-07 0:00:00
KARTER LUBRIFICANTES LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-05-07 0:00:00
KM LIVE MARKETING E AGENCY ENTERTAINMENT LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-05-07 0:00:00
PB RENT CAR LOCAÇÃO DE VEICULOS LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-05-07 0:00:00
SERVFORT ASSESSORIA E SERVIÇOS LTD;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-05-07 0:00:00
SERVTRONICA SEGURANCA ELETRONICA LTD;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-05-07 0:00:00
FRIGORÍFICO AVÍCOLA VOTUPORANGA LTDA.;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-05-07 0:00:00
ASPEN PARTICIPACOES LTDA;;;;;;;;;;;;;;;;;Wiz Corporate Solucoes E Corretagem De Seguros Ltda;2026-05-07 0:00:00
QUEBEC CONSTRUÇÕES E TECNOLOGIA AMBIENTAL S/A;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-05-07 0:00:00
SENDAS DISTRIBUIDORA S/A;;;;;;;;;;;;;;;;;Alper Consultoria E Corretora De Seguros;2026-05-07 0:00:00
EMPREITEC CONSTRUÇÕES ELÉTRICAS LTDA;;;;;;;;;;;;;;;;;Fibra Corretora de Seguros Ltda.;2026-05-08 0:00:00
LDP CANELA EMPREENDIMENTOS E PARTICIPAÇÕES AS;;;;;;;;;;;;;;;;;Black Swan Corretora de Seguros Ltda;2026-05-11 0:00:00
